unit,sex,age,region,year,value
YR,F,Y79,PT,1993,7.7
YR,T,Y17,PT,1993,58.7
YR,F,Y72,PT,1993,12.1
YR,T,Y71,PT,1993,11.8
YR,F,Y_LT1,PT,1993,78.1
YR,T,Y7,PT,1993,68.5
YR,F,Y14,PT,1992,65.4
YR,M,Y52,PT,1992,24.3
YR,T,Y56,PT,1992,23.4
YR,M,Y47,PT,1992,28.5
YR,M,Y44,PT,1992,31.2
YR,F,Y50,PT,1992,30.9
YR,M,Y60,PT,1992,18.1
YR,M,Y48,PT,1992,27.7
YR,T,Y32,PT,1992,44.9
YR,M,Y26,PT,1992,47.3
YR,F,Y80,PT,1992,7.3
YR,M,Y17,PT,1992,55.4
YR,F,Y4,PT,1992,75.1
YR,M,Y63,PT,1992,15.9
YR,F,Y79,PT,1992,7.9
YR,T,Y17,PT,1992,58.9
YR,F,Y72,PT,1992,12.3
YR,T,Y71,PT,1992,12.0
YR,F,Y_LT1,PT,1992,78.4
YR,T,Y7,PT,1992,68.7
YR,F,Y14,PT,1991,64.8
YR,M,Y52,PT,1991,23.9
YR,T,Y56,PT,1991,22.9
YR,M,Y47,PT,1991,28.1
YR,M,Y44,PT,1991,30.8
YR,F,Y50,PT,1991,30.4
YR,M,Y60,PT,1991,17.6
YR,M,Y48,PT,1991,27.3
YR,T,Y32,PT,1991,44.5
YR,M,Y26,PT,1991,47.0
YR,F,Y80,PT,1991,7.0
YR,M,Y17,PT,1991,55.0
YR,F,Y4,PT,1991,74.6
YR,M,Y63,PT,1991,15.5
YR,F,Y79,PT,1991,7.5
YR,T,Y17,PT,1991,58.5
YR,F,Y72,PT,1991,11.9
YR,T,Y71,PT,1991,11.6
YR,F,Y_LT1,PT,1991,77.7
YR,T,Y7,PT,1991,68.2
YR,F,Y14,PT,1990,64.7
YR,M,Y52,PT,1990,23.8
YR,T,Y56,PT,1990,22.8
YR,M,Y47,PT,1990,28.1
YR,M,Y44,PT,1990,30.7
YR,F,Y50,PT,1990,30.2
YR,M,Y60,PT,1990,17.6
YR,M,Y48,PT,1990,27.2
YR,T,Y32,PT,1990,44.4
YR,M,Y26,PT,1990,47.0
YR,F,Y80,PT,1990,6.9
YR,M,Y17,PT,1990,55.1
YR,F,Y4,PT,1990,74.4
YR,M,Y63,PT,1990,15.4
YR,F,Y79,PT,1990,7.4
YR,T,Y17,PT,1990,58.5
YR,F,Y72,PT,1990,11.8
YR,T,Y71,PT,1990,11.5
YR,F,Y_LT1,PT,1990,77.5
YR,T,Y7,PT,1990,68.2
YR,F,Y14,PT,1989,65.2
YR,M,Y52,PT,1989,24.1
YR,T,Y56,PT,1989,23.2
YR,M,Y47,PT,1989,28.4
YR,M,Y44,PT,1989,31.0
YR,F,Y50,PT,1989,30.8
YR,M,Y60,PT,1989,17.8
YR,M,Y48,PT,1989,27.5
YR,T,Y32,PT,1989,44.9
YR,M,Y26,PT,1989,47.4
YR,F,Y80,PT,1989,7.2
YR,M,Y17,PT,1989,55.5
YR,F,Y4,PT,1989,75.0
YR,M,Y63,PT,1989,15.7
YR,F,Y79,PT,1989,7.7
YR,T,Y17,PT,1989,58.9
YR,F,Y72,PT,1989,12.1
YR,T,Y71,PT,1989,11.8
YR,F,Y_LT1,PT,1989,77.9
YR,T,Y7,PT,1989,68.7
YR,F,Y14,PT,1988,64.7
YR,M,Y52,PT,1988,23.7
YR,T,Y56,PT,1988,22.8
YR,M,Y47,PT,1988,27.9
YR,M,Y44,PT,1988,30.5
YR,F,Y50,PT,1988,30.3
YR,M,Y60,PT,1988,17.4
YR,M,Y48,PT,1988,27.0
YR,T,Y32,PT,1988,44.4
YR,M,Y26,PT,1988,46.8
YR,F,Y80,PT,1988,6.9
YR,M,Y17,PT,1988,55.0
YR,F,Y4,PT,1988,74.5
YR,M,Y63,PT,1988,15.3
YR,F,Y79,PT,1988,7.5
YR,T,Y17,PT,1988,58.4
YR,F,Y72,PT,1988,11.9
YR,T,Y71,PT,1988,11.5
YR,F,Y_LT1,PT,1988,77.3
YR,T,Y7,PT,1988,68.1
YR,F,Y14,PT,1987,64.6
YR,M,Y52,PT,1987,23.7
YR,T,Y56,PT,1987,22.8
YR,M,Y47,PT,1987,27.9
YR,M,Y44,PT,1987,30.5
YR,F,Y50,PT,1987,30.2
YR,M,Y60,PT,1987,17.5
YR,M,Y48,PT,1987,27.0
YR,T,Y32,PT,1987,44.4
YR,M,Y26,PT,1987,46.9
YR,F,Y80,PT,1987,6.9
YR,M,Y17,PT,1987,55.1
YR,F,Y4,PT,1987,74.4
YR,M,Y63,PT,1987,15.4
YR,F,Y79,PT,1987,7.4
YR,T,Y17,PT,1987,58.5
YR,F,Y72,PT,1987,11.9
YR,T,Y71,PT,1987,11.6
YR,F,Y_LT1,PT,1987,77.2
YR,T,Y7,PT,1987,68.2
YR,F,Y14,PT,1986,64.4
YR,M,Y52,PT,1986,23.4
YR,T,Y56,PT,1986,22.5
YR,M,Y47,PT,1986,27.5
YR,M,Y44,PT,1986,30.1
YR,F,Y50,PT,1986,29.9
YR,M,Y60,PT,1986,17.3
YR,M,Y48,PT,1986,26.7
YR,T,Y32,PT,1986,44.0
YR,M,Y26,PT,1986,46.6
YR,F,Y80,PT,1986,6.8
YR,M,Y17,PT,1986,54.8
YR,F,Y4,PT,1986,74.1
YR,M,Y63,PT,1986,15.2
YR,F,Y79,PT,1986,7.3
YR,T,Y17,PT,1986,58.2
YR,F,Y72,PT,1986,11.7
YR,T,Y71,PT,1986,11.4
YR,F,Y_LT1,PT,1986,76.8
YR,T,Y7,PT,1986,67.9
YR,F,Y14,PT,1985,64.0
YR,M,Y52,PT,1985,23.1
YR,T,Y56,PT,1985,22.3
YR,M,Y47,PT,1985,27.3
YR,M,Y44,PT,1985,29.9
YR,F,Y50,PT,1985,29.7
YR,M,Y60,PT,1985,17.0
YR,M,Y48,PT,1985,26.4
YR,T,Y32,PT,1985,43.7
YR,M,Y26,PT,1985,46.3
YR,F,Y80,PT,1985,6.6
YR,M,Y17,PT,1985,54.6
YR,F,Y4,PT,1985,73.8
YR,M,Y63,PT,1985,14.9
YR,F,Y79,PT,1985,7.1
YR,T,Y17,PT,1985,57.9
YR,F,Y72,PT,1985,11.4
YR,T,Y71,PT,1985,11.1
YR,F,Y_LT1,PT,1985,76.5
YR,T,Y7,PT,1985,67.6
YR,F,Y14,PT,1984,63.8
YR,M,Y52,PT,1984,23.0
YR,T,Y56,PT,1984,22.1
YR,M,Y47,PT,1984,27.1
YR,M,Y44,PT,1984,29.7
YR,F,Y50,PT,1984,29.5
YR,M,Y60,PT,1984,16.9
